I,T,R,E,A,DE,DA,H,M
16 ,1 ,D,19 ,8 ,5 ,"6,500 ","1,433 ",0 
16 ,2 ,D,18 ,5 ,3 ,"5,863 ",0 ,0 
16 ,2 ,T,17 ,5 ,4 ,"8,693 ",0 ,"4,320 "
16 ,2 ,D,16 ,2 ,8 ,"5,060 ",0 ,0 
16 ,2 ,S,16 ,16 ,4 ,"3,532 ","8,915 ",850 
16 ,2 ,S,4 ,18 ,5 ,430 ,"9,986 ",0 
16 ,,,,,,,,
16 ,,,,,,,,
17 ,1 ,T,22 ,4 ,7 ,"10,060 ",0 ,"10,048 "
17 ,1 ,D,17 ,6 ,5 ,"7,341 ",46 ,"1,829 "
17 ,1 ,D,25 ,5 ,16 ,"7,391 ",0 ,0 
17 ,1 ,S,13 ,7 ,12 ,"6,500 ","7,715 ",161 
17 ,1 ,S,14 ,17 ,6 ,"3,314 ","11,679 ","1,138 "
17 ,2 ,S,20 ,12 ,6 ,"8,785 ","11,934 ",196 
17 ,2 ,S,14 ,21 ,12 ,"6,091 ","8,422 ",0 
17 ,2 ,D,25 ,2 ,10 ,"9,847 ",693 ,289 
17 ,2 ,T,23 ,6 ,4 ,"7,596 ",0 ,"17,741 "
17 ,2 ,D,22 ,1 ,9 ,"9,265 ",0 ,236 
18 ,1 ,T,25 ,6 ,10 ,"10,729 ",0 ,"10,953 "
18 ,1 ,D,13 ,3 ,10 ,"4,852 ",0 ,0 
18 ,1 ,D,21 ,2 ,11 ,"11,853 ",45 ,788 
18 ,1 ,S,9 ,17 ,9 ,"1,949 ","13,615 ",306 
18 ,1 ,S,23 ,15 ,11 ,"6,702 ","11,050 ",0 
18 ,2 ,D,15 ,3 ,9 ,"7,970 ","1,165 ","1,782 "
18 ,2 ,S,10 ,20 ,4 ,"2,321 ","9,918 ",597 
18 ,2 ,D,27 ,0 ,11 ,"8,544 ",0 ,"2,063 "
18 ,2 ,T,42 ,5 ,9 ,"15,564 ",0 ,"7,324 "
18 ,2 ,S,21 ,23 ,4 ,"5,811 ","9,262 ",0 
19 ,1 ,T,2 ,0 ,5 ,"5,213 ",0 ,"7,582 "
19 ,1 ,D,7 ,0 ,8 ,"3,679 ",0 ,0 
19 ,1 ,D,3 ,0 ,7 ,"3,844 ",83 ,0 
19 ,1 ,S,3 ,1 ,6 ,"2,822 ","4,123 ",369 
19 ,1 ,S,2 ,6 ,2 ,"1,336 ","5,992 ",465 
19 ,2 ,D,16 ,0 ,3 ,"4,755 ",0 ,796 
19 ,2 ,S,6 ,7 ,3 ,"2,211 ","3,485 ",0 
19 ,2 ,D,18 ,0 ,2 ,"8,535 ",0 ,0 
19 ,2 ,S,4 ,15 ,1 ,639 ,"7,115 ",261 
19 ,2 ,T,8 ,3 ,2 ,"3,886 ",0 ,"2,196 "
20 ,1 ,T,10 ,1 ,8 ,"7,521 ",0 ,"8,906 "
20 ,1 ,D,9 ,5 ,6 ,"6,784 ",0 ,0 
20 ,1 ,D,19 ,0 ,7 ,"7,762 ",203 ,"1,033 "
20 ,1 ,S,8 ,12 ,7 ,"4,818 ","4,780 ",243 
20 ,1 ,S,7 ,11 ,8 ,"2,595 ","7,080 ",842 
20 ,2 ,T,20 ,5 ,3 ,"9,017 ",0 ,"5,034 "
20 ,2 ,S,0 ,19 ,5 ,0 ,"10,343 ",0 
20 ,2 ,D,18 ,5 ,5 ,"7,315 ",596 ,0 
20 ,2 ,S,7 ,9 ,6 ,"2,087 ","7,983 ",125 
20 ,2 ,D,19 ,0 ,7 ,"8,935 ",0 ,"1,138 "
21 ,1 ,T,7 ,4 ,14 ,"8,758 ",0 ,"11,681 "
21 ,1 ,D,9 ,1 ,2 ,"9,302 ",0 ,0 
21 ,1 ,D,7 ,4 ,10 ,"10,710 ","2,145 ",0 
21 ,1 ,S,6 ,4 ,12 ,"4,356 ","8,286 ",0 
21 ,1 ,S,5 ,4 ,7 ,"2,916 ","10,068 ",887 
21 ,2 ,S,18 ,14 ,2 ,"4,036 ","13,176 ",0 
21 ,2 ,D,26 ,3 ,4 ,"13,247 ",0 ,943 
21 ,2 ,T,27 ,13 ,3 ,"8,406 ",0 ,"17,777 "
21 ,2 ,D,26 ,4 ,2 ,"10,616 ",0 ,65 
21 ,2 ,S,15 ,19 ,1 ,"2,315 ","16,422 ","1,149 "
22 ,1 ,T,16 ,2 ,7 ,"9,715 ",0 ,"11,183 "
22 ,1 ,D,15 ,3 ,7 ,"6,453 ",0 ,0 
22 ,1 ,D,15 ,1 ,9 ,"9,161 ","1,817 ",0 
22 ,1 ,S,7 ,13 ,7 ,"2,376 ","10,215 ",0 
22 ,1 ,S,8 ,12 ,7 ,"3,107 ","5,555 ",181 
22 ,2 ,D,17 ,0 ,8 ,"6,700 ",0 ,518 
22 ,2 ,D,20 ,8 ,6 ,"7,941 ","1,080 ","4,160 "
22 ,2 ,S,9 ,1 ,6 ,"2,206 ","7,851 ",0 
22 ,2 ,T,29 ,11 ,4 ,"10,332 ",0 ,"14,135 "
22 ,2 ,S,13 ,18 ,4 ,"3,340 ","10,771 ",544 
23 ,1 ,T,21 ,3 ,8 ,"11,761 ","2,730 ","5,153 "
23 ,1 ,D,25 ,4 ,6 ,"10,255 ",0 ,0 
23 ,1 ,D,14 ,2 ,12 ,"5,687 ",492 ,"2,071 "
