I,T,R,E,A,DE,DA,H,M
43,0,1,34,2,3,12821,950,0
43,0,2,4,32,3,432,8888,0
43,0,2,15,17,5,3166,6484,556
43,1,2,9,6,9,4241,5158,908
43,1,2,1,13,8,472,11399,423
43,1,0,11,3,9,7020,256,11327
43,1,1,9,0,9,7156,0,174
43,1,1,9,0,10,5732,60,922
44,0,0,28,1,4,12468,0,23212
44,0,1,23,6,7,11259,1122,0
44,0,1,24,0,12,6648,0,742
44,0,2,25,27,6,7287,10673,0
44,0,2,8,21,7,3655,8008,1528
44,1,2,8,17,11,2793,11215,573
44,1,1,24,2,10,10793,0,324
44,1,2,5,25,9,1253,14825,0
44,1,1,17,2,12,6717,392,704
44,1,0,19,11,6,10165,0,12762
45,0,0,23,2,1,9292,0,8391
45,0,1,21,2,5,9666,0,779
45,0,1,22,0,6,6323,0,214
45,0,2,16,10,6,3073,8706,567
45,0,2,11,17,5,1784,7704,223
45,1,1,12,4,7,5074,239,0
45,1,2,5,11,4,1155,7813,788
45,1,2,4,11,5,2398,8825,2105
45,1,0,14,0,8,9148,0,13124
45,1,1,10,0,10,6965,0,1451
46,0,0,21,5,4,10458,0,10664
46,0,1,18,9,2,7721,8,2034
46,0,1,20,0,4,9586,1050,0
46,0,2,7,9,6,4189,5010,440
46,0,2,1,8,4,223,9062,799
46,1,1,8,1,6,6587,1006,165
46,1,2,5,4,8,3177,6942,295
46,1,0,14,5,8,7999,0,9379
46,1,1,12,0,8,5685,70,246
46,1,2,2,7,6,1990,10137,322
47,0,0,27,6,8,9039,0,23088
47,0,1,26,2,10,9996,2228,0
47,0,1,30,2,13,10184,0,1009
47,0,2,23,22,13,6328,13092,823
47,0,2,14,17,12,5901,15266,0
47,1,1,20,7,14,8712,120,665
47,1,2,20,20,10,4208,10745,197
47,1,0,33,2,7,18054,0,28435
47,1,2,20,21,11,7425,9900,1378
47,1,1,27,11,16,9493,486,0
48,0,0,32,5,5,9352,1421,4395
48,0,1,24,7,1,7119,7,1392
48,0,1,24,0,7,6683,0,574
48,0,2,13,14,4,2480,7474,136
48,0,2,21,24,4,3356,6479,260
48,1,0,13,3,10,6658,0,7225
48,1,2,8,10,9,3329,8221,0
48,1,1,6,0,7,4054,0,450
48,1,2,5,6,10,1856,5567,131
48,1,1,13,0,10,6033,773,0
49,0,0,29,3,5,15419,0,26129
49,0,1,26,0,12,9653,0,2248
49,0,1,30,0,6,14908,3353,0
49,0,2,19,21,10,6340,9400,266
49,0,2,0,34,7,72,19010,1262
49,1,1,23,1,8,14820,326,0
49,1,2,4,24,5,1436,14811,525
49,1,0,28,8,9,13868,608,12949
49,1,1,27,2,12,13963,0,2728
49,1,2,13,23,11,2418,13662,717
50,0,0,33,3,5,16210,3530,4429
50,0,1,20,7,3,8287,108,3334
50,0,1,28,2,3,10702,2282,0
50,0,2,1,32,5,300,11394,1213
50,0,2,18,24,5,4072,7968,374
50,1,1,10,0,9,6728,0,500
50,1,1,8,3,12,11141,1112,136
50,1,2,12,8,3,6457,11564,0
