INDEX_1,INDEX_2,TEAM,ROLE,E,A,D,DMG,H,MIT
16,2,1,DAMAGE,8,0,2,7558,0,3014
16,3,1,DAMAGE,19,8,5,6500,1433,0
16,4,1,,,,,,,
16,5,1,,,,,,,
16,6,2,DAMAGE,18,5,3,5863,0,0
16,7,2,TANK,17,5,4,8693,0,4320
16,8,2,DAMAGE,16,2,8,5060,0,0
16,9,2,SUPPORT,16,16,4,3532,8915,850
16,10,2,SUPPORT,4,18,5,430,9986,0
17,1,1,TANK,22,4,7,10060,0,10048
17,2,1,DAMAGE,17,6,5,7341,46,1829
17,3,1,DAMAGE,25,5,16,7391,0,0
17,4,1,SUPPORT,13,7,12,6500,7715,161
17,5,1,SUPPORT,14,17,6,3314,11679,1138
17,6,2,SUPPORT,20,12,6,8785,11934,196
17,7,2,SUPPORT,14,21,12,6091,8422,0
17,8,2,DAMAGE,25,2,10,9847,693,289
17,9,2,TANK,23,6,4,7596,0,17741
17,10,2,DAMAGE,22,1,9,9265,0,236
18,1,1,TANK,25,6,10,10729,0,10953
18,2,1,DAMAGE,13,3,10,4852,0,0
18,3,1,DAMAGE,21,2,11,11853,45,788
18,4,1,SUPPORT,9,17,9,1949,13615,306
18,5,1,SUPPORT,23,15,11,6702,11050,0
18,6,2,DAMAGE,15,3,9,7970,1165,1782
18,7,2,SUPPORT,10,20,4,2321,9918,597
18,8,2,DAMAGE,27,0,11,8544,0,2063
18,9,2,TANK,42,5,9,15564,0,7324
18,10,2,SUPPORT,21,23,4,5811,9262,0
19,1,1,TANK,2,0,5,5213,0,7582
19,2,1,DAMAGE,7,0,8,3679,0,0
19,3,1,DAMAGE,3,0,7,3844,83,0
19,4,1,SUPPORT,3,1,6,2822,4123,369
19,5,1,SUPPORT,2,6,2,1336,5992,465
19,6,2,DAMAGE,16,0,3,4755,0,796
19,7,2,SUPPORT,6,7,3,2211,3485,0
19,8,2,DAMAGE,18,0,2,8535,0,0
19,9,2,SUPPORT,4,15,1,639,7115,261
19,10,2,TANK,8,3,2,3886,0,2196
20,1,1,TANK,10,1,8,7521,0,8906
20,2,1,DAMAGE,9,5,6,6784,0,0
20,3,1,DAMAGE,19,0,7,7762,203,1033
20,4,1,SUPPORT,8,12,7,4818,4780,243
20,5,1,SUPPORT,7,11,8,2595,7080,842
20,6,2,TANK,20,5,3,9017,0,5034
20,7,2,SUPPORT,0,19,5,0,10343,0
20,8,2,DAMAGE,18,5,5,7315,596,0
20,9,2,SUPPORT,7,9,6,2087,7983,125
20,10,2,DAMAGE,19,0,7,8935,0,1138
21,1,1,TANK,7,4,14,8758,0,11681
21,2,1,DAMAGE,9,1,2,9302,0,0
21,3,1,DAMAGE,7,4,10,10710,2145,0
21,4,1,SUPPORT,6,4,12,4356,8286,0
21,5,1,SUPPORT,5,4,7,2916,10068,887
21,6,2,SUPPORT,18,14,2,4036,13176,0
21,7,2,DAMAGE,26,3,4,13247,0,943
21,8,2,TANK,27,13,3,8406,0,17777
21,9,2,DAMAGE,26,4,2,10616,0,65
21,10,2,SUPPORT,15,19,1,2315,16422,1149
22,1,1,TANK,16,2,7,9715,0,11183
22,2,1,DAMAGE,15,3,7,6453,0,0
22,3,1,DAMAGE,15,1,9,9161,1817,0
22,4,1,SUPPORT,7,13,7,2376,10215,0
22,5,1,SUPPORT,8,12,7,3107,5555,181
22,6,2,DAMAGE,17,0,8,6700,0,518
22,7,2,DAMAGE,20,8,6,7941,1080,4160
22,8,2,SUPPORT,9,1,6,2206,7851,0
22,9,2,TANK,29,11,4,10332,0,14135
22,10,2,SUPPORT,13,18,4,3340,10771,544
23,1,1,TANK,21,3,8,11761,2730,5153
23,2,1,DAMAGE,25,4,6,10255,0,0
23,3,1,DAMAGE,14,2,12,5687,492,2071
23,4,1,SUPPORT,11,12,9,2612,9023,412
23,5,1,SUPPORT,5,21,4,1639,13201,0
23,6,2,TANK,17,4,6,13019,0,5379
23,7,2,DAMAGE,20,2,8,11772,0,0
23,8,2,SUPPORT,13,18,5,2395,12871,150
23,9,2,DAMAGE,27,1,7,9684,396,0
23,10,2,SUPPORT,15,15,10,5171,7030,176
24,1,1,TANK,24,4,7,9420,0,12094
24,2,1,DAMAGE,17,4,4,4671,0,0
24,3,1,DAMAGE,13,0,11,4321,0,477
24,4,1,SUPPORT,13,15,7,2760,9615,0
24,5,1,SUPPORT,7,8,9,1935,9299,1262
24,6,2,DAMAGE,23,4,6,6267,0,1351
24,7,2,TANK,22,13,6,5217,0,4480
24,8,2,DAMAGE,20,5,7,5932,0,0
24,9,2,SUPPORT,22,16,5,7339,7259,0
24,10,2,SUPPORT,25,6,6,6406,6568,0
25,1,1,TANK,11,1,7,6857,0,7116
