INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT
37,1,DAMAGE,20,3,4,9683,1525,0
37,1,DAMAGE,18,0,4,8945,0,3134
37,1,SUPPORT,15,18,3,4515,5774,226
37,1,SUPPORT,9,24,3,568,8563,471
37,2,DAMAGE,7,0,9,6075,517,651
37,2,DAMAGE,10,1,8,5525,207,276
37,2,SUPPORT,7,10,6,3203,7751,0
37,2,TANK,8,5,8,7238,5288,3763
37,2,SUPPORT,10,5,7,1566,8692,720
38,1,TANK,23,3,0,5841,0,4668
38,1,DAMAGE,18,1,5,5657,567,0
38,1,DAMAGE,21,0,1,4751,0,1343
38,1,SUPPORT,9,12,2,2259,6976,253
38,1,SUPPORT,9,17,3,2552,5909,225
38,2,SUPPORT,2,2,8,2207,2118,197
38,2,TANK,6,0,6,6012,0,6207
38,2,DAMAGE,4,0,7,3838,0,13
38,2,SUPPORT,2,6,8,441,5983,0
38,2,DAMAGE,8,0,7,4642,588,0
39,1,TANK,38,3,2,12497,0,19529
39,1,DAMAGE,17,1,7,6593,0,89
39,1,DAMAGE,30,2,6,9348,39,2179
39,1,SUPPORT,15,28,4,3500,8799,609
39,1,SUPPORT,0,38,0,0,13912,0
39,2,DAMAGE,14,0,9,8737,0,1713
39,2,SUPPORT,8,14,10,992,8485,342
39,2,SUPPORT,6,14,10,3045,6663,965
39,2,TANK,9,2,11,8880,41,8773
39,2,DAMAGE,8,0,10,8410,515,50
40,1,TANK,29,13,1,10650,0,13097
40,1,DAMAGE,33,0,7,13429,481,140
40,1,DAMAGE,14,0,5,6727,15,3108
40,1,SUPPORT,8,13,6,3390,8129,756
40,1,SUPPORT,4,19,1,682,11686,990
40,2,SUPPORT,3,9,9,796,9119,355
40,2,TANK,5,1,9,6852,1860,5414
40,2,DAMAGE,8,0,11,9452,3,2439
40,2,SUPPORT,8,10,7,3373,8513,0
40,2,DAMAGE,11,0,8,9288,0,1536
41,1,TANK,23,2,13,9810,12607,4273
41,1,DAMAGE,42,4,15,17461,0,2303
41,1,DAMAGE,32,10,4,13872,54,5976
41,1,SUPPORT,19,36,7,5793,12186,698
41,1,SUPPORT,7,22,5,2198,15927,982
41,2,SUPPORT,22,21,9,9178,12960,477
41,2,DAMAGE,29,1,14,20736,0,270
41,2,TANK,19,3,10,11584,1162,9996
41,2,SUPPORT,9,17,10,2226,14334,776
41,2,DAMAGE,21,0,15,15047,0,884
42,1,TANK,17,0,0,5396,0,11304
42,1,DAMAGE,12,3,2,4545,16,514
42,1,DAMAGE,12,2,2,5825,0,0
42,1,SUPPORT,15,11,1,4305,5188,14
42,1,SUPPORT,8,11,0,1186,5320,646
42,2,TANK,4,1,5,3653,0,7558
42,2,SUPPORT,3,3,6,1860,5137,0
42,2,SUPPORT,0,1,3,813,6849,911
42,2,DAMAGE,1,1,8,2948,186,29
42,2,DAMAGE,4,1,6,3025,160,0
43,1,TANK,17,5,5,7614,0,5027
43,1,DAMAGE,23,7,3,8176,114,2809
43,1,DAMAGE,34,2,3,12821,950,0
43,1,SUPPORT,4,32,3,432,8888,0
43,1,SUPPORT,15,17,5,3166,6484,556
43,2,SUPPORT,9,6,9,4241,5158,908
43,2,SUPPORT,1,13,8,472,11399,423
43,2,TANK,11,3,9,7020,256,11327
