Q,I,T,Ro,E,A,D,Dm,H,M,Re
R,31,1,D,2,1,2,2890,0,284,De
R,31,1,S,2,2,1,830,5146,126,De
R,31,1,S,1,3,2,754,3264,99,De
R,31,2,D,6,0,4,3617,38,218,V
R,31,2,T,10,4,0,4325,0,4735,V
R,31,2,D,7,2,1,6977,0,0,V
R,31,2,S,3,6,2,762,3866,45,V
R,31,2,S,4,6,0,804,5799,0,V
R,32,1,T,26,9,13,11806,0,17925,De
R,32,1,D,19,9,9,9741,117,3504,De
R,32,1,D,28,1,17,13073,1013,792,De
R,32,1,S,16,21,10,3188,12818,729,De
R,32,1,S,2,26,11,1858,13723,0,De
R,32,2,S,18,16,7,4673,9626,0,V
R,32,2,D,28,1,12,14274,623,1804,V
R,32,2,D,41,1,10,13704,0,3523,V
R,32,2,S,15,21,8,5166,13437,701,V
R,32,2,T,27,1,8,11254,0,24067,V
R,33,1,T,14,1,10,12573,237,12662,De
R,33,1,D,14,4,6,9367,29,2168,De
R,33,1,D,17,2,8,11170,913,16,De
R,33,1,S,16,14,8,3498,12687,108,De
R,33,1,S,8,8,10,5105,7338,254,De
R,33,2,D,25,0,9,12089,1059,713,V
R,33,2,S,0,28,4,100,17667,0,V
R,33,2,S,14,10,6,5867,7853,487,V
R,33,2,T,24,5,7,11265,0,15308,V
R,33,2,D,29,0,3,10366,1104,0,V
R,34,1,T,24,4,11,14645,0,9540,De
R,34,1,D,19,2,7,11453,0,0,De
R,34,1,D,26,4,12,12646,285,1180,De
R,34,1,S,8,13,14,4219,8645,640,De
R,34,1,S,11,13,13,3362,7520,3219,De
R,34,2,S,10,29,8,2940,12125,131,V
R,34,2,D,29,9,8,10385,500,0,V
R,34,2,T,35,12,9,12198,4851,8161,V
R,34,2,D,26,8,10,11240,338,85,V
R,34,2,S,15,28,7,2795,14183,1062,V
R,35,1,T,19,3,11,12744,0,22464,De
R,35,1,D,18,1,5,9596,0,0,De
R,35,1,D,14,2,17,8583,1116,0,De
R,35,1,S,13,6,9,6356,10715,319,De
R,35,1,S,6,5,12,3072,9568,24,De
R,35,2,T,38,14,5,13498,0,12907,V
R,35,2,D,30,5,10,13776,1490,0,V
R,35,2,D,29,0,9,9628,216,964,V
R,35,2,S,11,24,6,3302,8780,0,V
R,35,2,S,4,18,6,2311,16262,1201,V
R,36,1,T,1,1,6,3434,0,3929,De
R,36,1,D,2,1,3,4044,0,0,De
R,36,1,D,0,0,5,4224,20,146,De
R,36,1,S,0,1,1,247,6490,0,De
R,36,1,S,1,0,4,1894,3106,0,De
R,36,2,T,10,2,1,4365,0,4292,V
R,36,2,S,4,8,1,781,6335,360,V
R,36,2,D,15,0,0,5505,555,0,V
R,36,2,D,10,1,0,4051,448,3305,V
R,36,2,S,11,12,0,2672,4109,0,V
R,37,1,T,7,1,5,3370,0,3979,De
R,37,1,D,2,0,2,2601,0,0,De
R,37,1,D,6,2,6,3004,361,1818,De
R,37,1,S,6,4,4,1183,4129,365,De
R,37,2,D,16,1,4,3954,521,0,V
R,37,2,S,8,7,1,1873,3086,0,V
R,37,2,D,9,0,1,2690,0,0,V
R,37,2,T,10,0,2,4076,0,8644,V
R,37,2,S,8,9,1,1559,4731,391,V
R,38,1,T,3,1,7,4470,0,6342,De
R,38,1,D,6,1,4,4819,0,0,De
R,38,1,D,5,1,6,3456,0,0,De
R,38,1,S,2,4,7,867,7185,241,De
R,38,1,S,5,4,2,2044,8100,1097,De
R,38,2,D,16,3,1,7339,1186,0,V
R,38,2,T,13,1,2,6656,0,3427,V
R,38,2,D,14,0,5,4331,0,926,V
R,38,2,S,12,12,0,2538,6126,162,V
R,38,2,S,9,6,1,4034,4950,0,V
R,39,1,T,18,5,8,9645,0,12285,De
R,39,1,D,19,1,7,7323,0,0,De
R,39,1,D,13,1,13,6868,0,501,De
R,39,1,S,1,17,8,572,12478,374,De
R,39,1,S,7,11,9,3582,8648,1602,De
R,39,2,D,24,3,3,10611,1905,0,V
R,39,2,T,33,10,5,9404,0,16082,V
R,39,2,D,30,1,7,10530,0,2477,V
R,39,2,S,10,25,5,1659,10157,266,V
R,39,2,S,7,13,5,4111,6273,196,V
R,40,1,T,17,8,13,13733,0,8494,De
R,40,1,D,21,1,7,12625,0,0,De
R,40,1,D,14,6,6,13033,0,0,De
R,40,1,S,6,11,12,4741,7383,41,De
R,40,1,S,4,14,7,1830,10453,260,De
R,40,2,S,1,22,2,318,20316,495,V
R,40,2,T,26,6,5,14065,0,13570,V
R,40,2,D,28,7,6,11276,0,0,V
R,40,2,S,11,13,6,2829,12561,1196,V
R,40,2,D,18,3,12,7701,888,73,V
R,41,1,T,26,6,9,11328,404,7941,De
R,41,1,D,25,3,3,9085,0,0,De
R,41,1,D,23,0,10,7656,0,369,De
R,41,1,S,14,8,9,4667,9166,188,De
R,41,1,S,14,22,12,4967,12401,0,De
R,41,2,S,14,23,8,2887,11514,2319,V
R,41,2,T,27,6,7,12736,0,10146,V
R,41,2,D,20,6,11,7034,38,253,V
R,41,2,S,15,16,6,5438,10769,521,V
R,41,2,D,21,1,9,9043,0,335,V
R,42,1,T,4,0,8,4150,0,6097,De
R,42,1,D,4,0,3,3578,0,0,De
R,42,1,D,3,0,9,4300,1161,0,De
R,42,1,S,2,0,7,1627,3810,0,De
R,42,1,S,3,4,9,2854,5721,0,De
R,42,2,D,21,2,3,6506,257,0,V
R,42,2,S,5,11,1,1203,5638,1124,V
R,42,2,S,12,15,0,1878,6993,0,V
R,42,2,T,22,2,0,6968,0,12937,V
R,42,2,D,22,0,4,5731,0,1721,V
R,43,1,T,13,2,4,6660,0,5375,De
R,43,1,D,6,1,4,6681,0,0,De
R,43,1,D,12,0,10,7276,706,0,De
R,43,1,S,2,11,7,2172,5753,1026,De
R,43,1,S,4,3,6,3253,5615,1670,De
R,43,2,S,5,19,3,410,11613,478,V
R,43,2,T,18,8,3,6540,0,8456,V
R,43,2,D,15,4,3,6364,0,0,V
R,43,2,S,8,12,3,1818,6121,168,V
R,43,2,D,23,0,6,7093,0,2359,V
R,44,1,T,31,7,13,13033,0,17261,De
R,44,1,D,41,2,5,12755,0,0,De
R,44,1,D,26,13,14,8495,390,2273,De
R,44,1,S,24,29,11,6340,12049,2190,De
R,44,1,S,16,17,12,3046,13562,1485,De
R,44,2,S,22,25,9,7176,13134,935,V
R,44,2,T,30,7,9,13102,0,11816,V
R,44,2,D,38,2,11,10624,0,2647,V
R,44,2,S,13,35,7,4936,12774,776,V
R,44,2,D,31,5,18,11313,1233,0,V
R,45,1,T,12,7,5,6159,0,7911,De
R,45,1,D,13,3,1,7967,0,0,De
R,45,1,D,16,0,5,7958,966,930,De
R,45,1,S,8,11,8,2760,4594,410,De
R,45,1,S,7,18,3,1356,9457,0,De
R,45,2,S,5,5,5,934,5947,1184,V
R,45,2,D,14,2,3,6442,2475,0,V
R,45,2,D,15,6,5,6082,321,1773,V
R,45,2,S,4,9,3,1736,7841,1153,V
R,45,2,T,17,7,4,7867,0,6352,V
R,46,1,T,16,6,12,8941,0,14347,De
R,46,1,D,13,2,6,7137,8,2706,De
R,46,1,D,17,0,16,6780,77,1810,De
R,46,1,S,8,7,11,3134,9542,6714,De
R,46,1,S,6,11,5,1388,6019,166,De
R,46,2,S,31,23,5,6951,6422,366,V
R,46,2,S,10,23,5,1220,12382,714,V
R,46,2,D,28,4,8,7864,0,1295,V
R,46,2,T,43,10,4,17612,0,8679,V
R,46,2,D,11,5,7,3985,308,27,V
R,47,1,T,2,0,5,3828,35,6380,De
R,47,1,D,4,2,1,3653,0,112,De
R,47,1,D,3,0,8,3319,0,1509,De
R,47,1,S,0,2,5,243,4232,0,De
R,47,1,S,1,3,5,575,5729,191,De
R,47,2,S,4,4,0,1846,3317,0,V
R,47,2,T,10,4,1,4755,0,5932,V
R,47,2,S,3,7,0,490,5204,0,V
R,47,2,D,11,2,2,6182,393,108,V
R,47,2,D,15,1,3,5814,0,0,V
R,48,1,T,18,5,10,10467,0,17146,De
R,48,1,D,16,3,9,9029,650,3525,De
R,48,1,D,14,5,8,7451,20,3677,De
R,48,1,S,10,13,10,3043,9575,747,De
R,48,1,S,19,7,9,9288,8713,0,De
R,48,2,D,24,1,4,12866,0,0,V
R,48,2,D,25,0,11,10331,0,1324,V
