INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
27,2,DAMAGE,12,2,4,5358,0,0,WIN
27,2,SUPPORT,10,1,4,4148,3493,0,WIN
27,2,SUPPORT,5,9,2,695,4869,255,WIN
28,1,TANK,3,15,5,14669,0,19043,LOSE
28,1,DAMAGE,27,7,9,18579,1027,568,LOSE
28,1,DAMAGE,33,5,7,20911,1273,100,LOSE
28,1,SUPPORT,12,22,6,4532,15005,393,LOSE
28,1,SUPPORT,4,33,4,662,20610,0,LOSE
28,2,TANK,22,2,7,19499,903,26155,WIN
28,2,DAMAGE,12,2,14,12824,536,201,WIN
28,2,DAMAGE,15,0,11,15056,441,1463,WIN
28,2,SUPPORT,5,22,7,1098,21631,494,WIN
28,2,SUPPORT,6,19,6,5133,17555,301,WIN
29,1,TANK,24,9,5,9021,0,10517,LOSE
29,1,DAMAGE,17,0,11,7114,0,406,LOSE
29,1,DAMAGE,19,9,8,5749,1336,1266,LOSE
29,1,SUPPORT,7,17,11,1260,8133,237,LOSE
29,1,SUPPORT,9,17,10,1862,8773,113,LOSE
29,2,TANK,22,4,6,9017,0,4921,WIN
29,2,DAMAGE,24,2,8,8451,89,449,WIN
29,2,DAMAGE,14,2,5,7565,110,0,WIN
29,2,SUPPORT,11,11,4,3710,6270,0,WIN
29,2,SUPPORT,19,11,8,5082,5987,20,WIN
30,1,TANK,23,8,9,13588,577,17304,LOSE
30,1,DAMAGE,23,1,13,14478,1159,0,LOSE
30,1,DAMAGE,19,1,14,10699,81,697,LOSE
30,1,SUPPORT,9,22,5,4709,13631,0,LOSE
30,1,SUPPORT,11,16,10,6817,12235,38,LOSE
30,2,TANK,26,5,4,13739,0,4893,WIN
30,2,DAMAGE,22,5,7,12443,0,4117,WIN
30,2,DAMAGE,29,5,11,12619,0,1442,WIN
30,2,SUPPORT,11,16,9,3438,14106,919,WIN
30,2,SUPPORT,13,19,10,3400,12737,0,WIN
