I,T,RO,E,A,DE,DA,H,M,RE
44,2,D,17,2,12,6717,392,704,D
44,2,S,8,17,11,2793,11215,573,D
44,2,S,5,25,9,1253,14825,0,D
45,1,T,23,2,1,9292,0,8391,V
45,1,D,21,2,5,9666,0,779,V
45,1,D,22,0,6,6323,0,214,V
45,1,S,16,10,6,3073,8706,567,V
45,1,S,11,17,5,1784,7704,223,V
45,2,T,14,0,8,9148,0,13124,D
45,2,D,12,4,7,5074,239,0,D
45,2,D,10,0,10,6965,0,1451,D
45,2,S,5,11,4,1155,7813,788,D
45,2,S,4,11,5,2398,8825,2105,D
46,1,T,21,5,4,10458,0,10664,V
46,1,D,18,9,2,7721,8,2034,V
46,1,D,20,0,4,9586,1050,0,V
46,1,S,7,9,6,4189,5010,440,V
46,1,S,1,8,4,223,9062,799,V
46,2,T,14,5,8,7999,0,9379,D
46,2,D,8,1,6,6587,1006,165,D
46,2,D,12,0,8,5685,70,246,D
46,2,S,5,4,8,3177,6942,295,D
46,2,S,2,7,6,1990,10137,322,D
47,1,T,27,6,8,9039,0,23088,V
47,1,D,26,2,10,9996,2228,0,V
47,1,D,30,2,13,10184,0,1009,V
47,1,S,23,22,13,6328,13092,823,V
47,1,S,14,17,12,5901,15266,0,V
47,2,T,33,2,7,18054,0,28435,D
47,2,D,20,7,14,8712,120,665,D
47,2,D,27,11,16,9493,486,0,D
47,2,S,20,20,10,4208,10745,197,D
47,2,S,20,21,11,7425,9900,1378,D
48,1,T,32,5,5,9352,1421,4395,V
48,1,D,24,7,1,7119,7,1392,V
48,1,D,24,0,7,6683,0,574,V
48,1,S,13,14,4,2480,7474,136,V
48,1,S,21,24,4,3356,6479,260,V
48,2,T,13,3,10,6658,0,7225,D
48,2,D,6,0,7,4054,0,450,D
48,2,D,13,0,10,6033,773,0,D
48,2,S,8,10,9,3329,8221,0,D
48,2,S,5,6,10,1856,5567,131,D
49,1,T,29,3,5,15419,0,26129,V
49,1,D,26,0,12,9653,0,2248,V
49,1,D,30,0,6,14908,3353,0,V
49,1,S,19,21,10,6340,9400,266,V
49,1,S,0,34,7,72,19010,1262,V
49,2,T,28,8,9,13868,608,12949,D
49,2,D,23,1,8,14820,326,0,D
49,2,D,27,2,12,13963,0,2728,D
49,2,S,4,24,5,1436,14811,525,D
49,2,S,13,23,11,2418,13662,717,D
50,1,T,33,3,5,16210,3530,4429,V
50,1,D,20,7,3,8287,108,3334,V
50,1,D,28,2,3,10702,2282,0,V
50,1,S,1,32,5,300,11394,1213,V
50,1,S,18,24,5,4072,7968,374,V
50,2,T,10,1,11,7706,0,17497,D
50,2,D,10,0,9,6728,0,500,D
50,2,D,8,3,12,11141,1112,136,D
50,2,S,12,8,3,6457,11564,0,D
50,2,S,4,10,8,2089,9865,729,D
51,1,T,26,3,10,15565,0,10077,V
51,1,D,15,0,9,9049,41,5116,V
51,1,D,25,3,8,9748,2502,0,V
51,1,S,9,13,9,2682,10817,662,V
51,1,S,0,23,6,48,15254,1698,V
51,2,T,28,3,6,14238,968,2283,D
51,2,D,18,7,8,10633,0,0,D
51,2,D,25,2,9,11231,946,2283,D
51,2,S,8,17,6,2322,11849,463,D
51,2,S,17,22,9,6119,9399,0,D
52,1,T,38,8,5,13438,0,21994,V
52,1,D,38,7,6,14521,2526,0,V
52,1,D,37,0,13,10160,59,1991,V
52,1,S,21,30,10,5948,8129,1401,V
52,1,S,8,44,5,1256,13781,0,V
52,2,T,29,10,14,14491,0,19682,D
52,2,D,16,5,12,9802,253,0,D
52,2,D,16,0,12,9119,558,175,D
52,2,S,9,17,10,1052,10671,1364,D
52,2,S,14,15,12,3122,12682,631,D
53,1,T,36,3,6,11425,0,18862,V
53,1,D,33,4,9,11017,3057,0,V
53,1,D,36,0,5,9860,0,1417,V
53,1,S,21,23,11,4096,7658,405,V
53,1,S,17,32,8,4631,8997,3093,V
53,2,T,18,7,12,8122,0,7417,D
53,2,D,28,0,14,10590,0,2985,D
53,2,D,21,1,12,8113,756,56,D
53,2,S,8,17,9,2548,10580,1212,D
53,2,S,13,15,14,5175,8684,511,D
54,1,T,29,8,9,17416,0,13015,V
54,1,D,27,8,4,10362,13,5855,V
54,1,D,28,2,10,14175,751,35,V
54,1,S,15,18,7,3951,11031,1271,V
54,1,S,0,30,7,270,12404,0,V
54,2,T,24,9,12,9779,4204,3808,D
54,2,D,17,0,8,9743,0,2462,D
54,2,D,21,3,10,12334,0,460,D
54,2,S,10,18,8,2908,13200,504,D
54,2,S,12,21,9,3833,11832,0,D
55,1,T,27,3,3,15126,0,32521,V
55,1,D,23,10,3,12968,46,7042,V
55,1,D,27,2,12,14409,1122,621,V
55,1,S,14,25,3,5519,16943,3374,V
55,1,S,15,25,6,7044,13565,2756,V
55,2,T,9,1,7,13385,0,15892,D
55,2,D,15,0,11,12063,318,248,D
55,2,D,18,6,9,13402,921,0,D
55,2,S,8,9,7,2587,14987,1326,D
55,2,S,7,9,11,5151,15587,0,D
56,1,T,12,8,1,7698,1911,1633,V
56,1,D,13,4,1,6129,0,1807,V
56,1,D,11,0,8,7672,1137,0,V
56,1,S,4,9,3,924,8086,311,V
56,1,S,6,6,1,1474,6433,610,V
56,2,T,5,0,6,8689,849,5808,D
56,2,D,8,2,4,6330,57,600,D
56,2,D,8,2,3,5564,284,0,D
56,2,S,3,4,3,1458,7184,202,D
56,2,S,1,5,4,1312,6878,0,D
57,1,T,11,3,7,7038,0,11367,V
57,1,D,22,0,5,7687,0,1164,V
57,1,D,18,2,2,8790,0,1642,V
57,1,S,14,16,4,3833,6193,574,V
57,1,S,21,6,4,7472,9161,0,V
57,2,T,12,1,9,8470,92,8266,D
57,2,D,9,1,10,6067,467,1442,D
57,2,D,9,1,6,7160,0,952,D
57,2,S,7,14,5,1091,12194,0,D
57,2,S,8,10,7,2344,8633,582,D
58,1,T,23,6,6,11105,0,6993,V
58,1,D,20,6,4,9280,102,2236,V
58,1,D,28,1,8,11342,1054,0,V
58,1,S,1,28,6,20,9726,0,V
58,1,S,18,24,6,3730,9687,902,V
58,2,T,13,1,9,8834,0,21212,D
58,2,D,13,1,9,5729,922,0,D
58,2,D,16,0,5,8189,381,277,D
58,2,S,11,10,9,5401,7980,664,D
58,2,S,9,10,6,2578,12131,1850,D
59,1,T,26,7,2,10436,0,6699,V
59,1,D,24,6,4,6910,36,2148,V
59,1,D,18,2,5,5641,0,0,V
59,1,S,16,17,1,2719,8242,1137,V
59,1,S,23,21,3,7736,6463,16,V
59,2,T,6,1,8,6573,1286,7837,D
59,2,D,4,2,14,5776,496,559,D
59,2,D,13,0,12,8870,66,610,D
59,2,S,3,7,4,1674,9510,596,D
59,2,S,2,6,7,2869,7101,666,D
60,1,T,13,1,0,4188,0,2013,V
60,1,D,11,6,0,2748,0,1216,V
60,1,D,10,1,0,2411,567,0,V
60,1,S,8,11,0,830,2821,0,V
60,1,S,9,8,0,2183,2471,137,V
60,2,T,0,0,5,1453,90,2987,D
60,2,D,0,0,5,1729,148,56,D
60,2,D,0,0,2,1485,0,0,D
60,2,S,0,0,4,1260,2232,0,D
60,2,S,0,0,0,355,3444,546,D
61,1,T,16,4,9,11148,1706,8532,V
61,1,D,25,10,7,11090,66,6629,V
61,1,D,29,0,10,14530,1185,0,V
61,1,S,14,9,7,2871,11131,2198,V
61,1,S,16,16,9,5386,8992,312,V
61,2,T,22,6,8,8679,2529,11094,D
61,2,D,24,5,9,13803,0,0,D
61,2,D,18,4,11,6533,0,2160,D
61,2,S,14,15,6,3442,12824,834,D
61,2,S,18,12,5,6772,15797,246,D
62,1,T,23,7,10,11786,0,7677,V
62,1,D,26,8,8,10580,30,2942,V
62,1,D,22,0,10,11261,1063,0,V
62,1,S,4,14,7,1816,10514,612,V
62,1,S,18,14,5,6877,9913,0,V
62,2,T,23,8,7,11809,0,12783,D
62,2,D,22,1,9,8307,868,0,D
62,2,D,22,6,11,10010,977,0,D
62,2,S,14,17,9,6589,12779,402,D
62,2,S,9,19,9,1981,11281,75,D
63,1,T,18,4,4,7650,4736,1307,V
63,1,D,17,4,4,7173,0,822,V
63,1,D,19,1,4,7493,1134,0,V
63,1,S,16,15,4,2357,7111,494,V
63,1,S,7,19,3,511,7827,30,V
63,2,T,7,5,8,5952,2267,2180,D
63,2,D,12,4,4,7687,150,0,D
63,2,D,9,0,10,6153,0,1460,D
63,2,S,3,6,7,1937,6136,310,D
63,2,S,7,5,5,5844,4928,0,D
64,1,T,5,1,2,4403,0,4936,V
64,1,D,11,6,1,4798,82,2083,V
64,1,D,8,1,1,4573,645,0,V
64,1,S,8,3,1,2649,4202,0,V
64,1,S,1,8,1,254,3039,0,V
64,2,T,1,0,3,2471,0,11844,D
64,2,D,2,0,6,3133,339,0,D
64,2,D,6,1,1,3492,319,0,D
64,2,S,1,5,3,773,5208,394,D
64,2,S,2,4,3,1204,4720,411,D
65,1,T,15,2,6,9752,2101,4361,V
65,1,D,17,5,3,7756,42,2520,V
