Battletag,Eliminations,Deaths,Assists,Damage,Healing,Mitigated,Result
LBBD7,44,9,0,15257,0,0,Victory
Haku,25,10,30,7023,9901,3197,Victory
Landon,20,9,38,6720,15937,0,Victory
HanBin,32,7,29,12567,4304,6825,Victory
Proper,44,5,1,13686,273,2322,Victory
Stalk3r,38,4,0,14623,0,0,Victory
ChiYo,24,4,33,3312,12842,0,Victory
Fielder,31,7,42,6532,9921,5622,Victory
Tred,18,11,12,14316,5167,6954,Defeat
Checkmate,18,11,3,11016,447,4164,Defeat
LBBD7,21,13,0,10111,0,0,Defeat
Haku,15,12,14,3967,7869,3145,Defeat
Landon,16,10,21,3957,12827,0,Defeat
Vestola,2,8,0,5591,183,6765,Defeat
JaeWoo,2,5,1,4055,19,699,Defeat
sHockWave,3,8,0,5498,0,669,Defeat
FiXa,0,8,1,3054,2985,1382,Defeat
Galaa,3,9,1,1973,4232,0,Defeat
Guxue,32,0,5,7360,339,6968,Victory
Leave,26,1,0,4690,0,0,Victory
shy,28,2,0,6652,0,0,Victory
Mew,21,1,15,3026,3939,1229,Victory
Mmonk,19,0,23,3415,9456,0,Victory
LiGe,32,6,18,10923,704,21043,Victory
Leave,33,7,0,11948,384,1949,Victory
shy,23,8,0,13700,0,0,Victory
Mew,26,3,28,7405,12103,6776,Victory
Mmonk,22,3,33,4986,19626,0,Victory
Vestola,13,11,3,12819,0,27769,Defeat
JaeWoo,17,10,3,11859,1112,7225,Defeat
sHockWave,19,7,0,12670,0,0,Defeat
FiXa,17,8,21,8144,12340,6246,Defeat
Galaa,11,8,19,5549,15006,0,Defeat
cuFFa,18,2,3,9327,0,3330,Victory
Lethal,22,5,4,9462,211,0,Victory
zeruhh,17,1,0,6364,0,0,Victory
Admiral,7,2,18,3191,6304,4552,Victory
UltraViolet,12,2,11,5016,8081,0,Victory
GagA,9,5,5,5527,0,4637,Defeat
Kaneki,6,9,2,5962,0,0,Defeat
Pineapple,3,6,0,5148,0,0,Defeat
Farway2025,7,6,6,3252,4951,0,Defeat
HaoYoqian,6,5,4,3241,5368,871,Defeat
GagA,10,5,1,5828,120,10106,Defeat
Kaneki,8,5,0,3274,0,0,Defeat
Pineapple,6,7,0,6145,0,0,Defeat
Farway2025,2,6,10,2508,8021,0,Defeat
HaoYoqian,4,7,5,2106,3219,1331,Defeat
cuFFa,22,1,2,8844,600,7499,Victory
Lethal,13,5,0,6388,0,85,Victory
zeruhh,20,1,0,4770,0,0,Victory
Admiral,15,2,13,3976,3897,1201,Victory
UltraViolet,14,3,13,2425,6153,0,Victory
JunBin,14,1,3,5824,0,4227,Victory
HeeSang,15,0,1,7085,0,370,Victory
LIP,19,0,0,7203,0,0,Victory
CH0R0NG,10,4,13,3128,5034,2201,Victory
shu,7,4,6,3306,4708,127,Victory
Kellan,5,6,1,5864,0,6373,Defeat
seeker,4,8,0,4241,956,0,Defeat
sugarfree,8,3,0,6929,0,0,Defeat
Bliss,5,4,4,3473,4820,1127,Defeat
cjay,2,4,4,3551,5569,0,Defeat
Kellan,16,7,2,9313,749,12859,Defeat
seeker,13,9,0,7820,35,0,Defeat
sugarfree,20,5,0,7222,0,0,Defeat
Bliss,10,8,8,4347,6414,2578,Defeat
cjay,7,7,13,4590,11338,0,Defeat
JunBin,30,3,8,11243,1284,13530,Victory
HeeSang,28,5,0,8703,0,0,Victory
LIP,19,7,0,9373,0,0,Victory
CH0R0NG,20,4,18,4975,6936,2634,Victory
shu,9,5,24,5214,9596,0,Victory
Vestola,21,2,7,10747,106,11753,Victory
JaeWoo,18,2,8,6843,46,2453,Victory
sHockWave,16,2,0,6646,0,0,Victory
FiXa,21,2,14,3577,5594,2361,Victory
Galaa,16,1,21,2263,11013,0,Victory
Tred,5,8,0,7124,300,7431,Defeat
Checkmate,3,5,1,6474,49,0,Defeat
LBBD7,8,6,0,6770,0,0,Defeat
Haku,4,7,5,1551,4551,2478,Defeat
Landon,5,5,4,2222,9482,0,Defeat
Tred,2,7,0,3714,8,6083,Defeat
Checkmate,2,6,0,3408,0,1067,Defeat
LBBD7,4,6,0,4274,0,0,Defeat
