INDEX,TEAM,ROLE,E,A,D,DMG,H,MIT,GAME
55,1,SUPPORT,0,18,0,0,4654,0,VICTORY
55,2,TANK,3,0,4,3785,0,3995,DEFEAT
55,2,DAMAGE,2,0,8,2855,250,530,DEFEAT
55,2,DAMAGE,1,0,8,2961,0,0,DEFEAT
55,2,SUPPORT,1,2,7,1408,3054,289,DEFEAT
55,2,SUPPORT,1,1,4,1386,5123,542,DEFEAT
56,1,TANK,33,4,4,10509,0,5654,VICTORY
56,1,DAMAGE,23,1,6,7386,0,0,VICTORY
56,1,DAMAGE,32,4,5,10213,1821,0,VICTORY
56,1,SUPPORT,11,25,4,2732,7352,0,VICTORY
56,1,SUPPORT,18,27,6,2628,8305,576,VICTORY
56,2,TANK,16,4,9,7708,0,6190,DEFEAT
56,2,DAMAGE,11,0,13,5695,514,264,DEFEAT
56,2,DAMAGE,12,0,10,7868,5,572,DEFEAT
56,2,SUPPORT,7,11,8,2873,10236,1295,DEFEAT
56,2,SUPPORT,3,12,9,875,9085,0,DEFEAT
57,1,TANK,20,3,5,11165,0,19121,VICTORY
57,1,DAMAGE,17,0,2,6427,0,0,VICTORY
57,1,DAMAGE,18,5,5,8430,0,0,VICTORY
57,1,SUPPORT,10,18,2,3365,11769,877,VICTORY
57,1,SUPPORT,8,12,5,1260,7081,623,VICTORY
57,2,TANK,4,1,6,5251,0,8015,DEFEAT
57,2,DAMAGE,9,0,10,7411,184,48,DEFEAT
57,2,DAMAGE,14,0,7,7725,0,1567,DEFEAT
57,2,SUPPORT,12,6,2,3752,11170,981,DEFEAT
57,2,SUPPORT,5,7,9,4554,7558,1857,DEFEAT
58,1,TANK,24,3,6,12837,851,7036,VICTORY
58,1,DAMAGE,20,0,4,7654,0,0,VICTORY
58,1,DAMAGE,18,0,12,10512,1013,0,VICTORY
58,1,SUPPORT,13,14,5,5242,5165,579,VICTORY
58,1,SUPPORT,2,25,5,132,11067,793,VICTORY
58,2,TANK,14,2,6,8223,5314,2501,DEFEAT
58,2,DAMAGE,16,0,8,8324,0,199,DEFEAT
58,2,DAMAGE,17,0,8,10469,2466,0,DEFEAT
58,2,SUPPORT,5,15,8,1903,7114,0,DEFEAT
58,2,SUPPORT,3,16,7,709,9240,275,DEFEAT
59,1,TANK,11,4,1,4461,0,2492,VICTORY
59,1,DAMAGE,12,0,0,3904,0,0,VICTORY
59,1,DAMAGE,14,0,1,5389,0,19,VICTORY
59,1,SUPPORT,2,8,1,1283,3795,30,VICTORY
59,1,SUPPORT,8,11,1,1472,5446,1404,VICTORY
59,2,TANK,3,1,6,4143,0,4545,DEFEAT
59,2,DAMAGE,3,0,5,3718,437,70,DEFEAT
59,2,DAMAGE,4,3,2,2172,1071,0,DEFEAT
59,2,SUPPORT,0,1,2,1298,5378,300,DEFEAT
59,2,SUPPORT,0,1,3,1781,3314,504,DEFEAT
60,1,TANK,10,6,0,2881,314,914,VICTORY
60,1,DAMAGE,11,0,0,2143,0,0,VICTORY
60,1,DAMAGE,9,0,0,2242,0,70,VICTORY
60,1,SUPPORT,3,5,0,446,1938,158,VICTORY
60,1,SUPPORT,5,5,0,508,2394,10,VICTORY
60,2,TANK,0,0,3,1158,0,1800,DEFEAT
60,2,DAMAGE,0,0,3,1750,0,0,DEFEAT
60,2,DAMAGE,0,0,4,1407,0,226,DEFEAT
60,2,SUPPORT,0,0,3,275,1569,0,DEFEAT
60,2,SUPPORT,0,0,3,1249,1946,0,DEFEAT
61,1,TANK,27,3,8,15214,2935,22384,VICTORY
61,1,DAMAGE,29,0,8,8734,0,0,VICTORY
61,1,DAMAGE,36,9,8,11736,1840,16,VICTORY
61,1,SUPPORT,18,24,6,4761,11402,233,VICTORY
61,1,SUPPORT,6,23,7,1950,16527,890,VICTORY
61,2,TANK,22,4,8,15591,0,9981,DEFEAT
61,2,DAMAGE,21,1,12,12451,251,207,DEFEAT
61,2,DAMAGE,20,4,10,13899,305,186,DEFEAT
61,2,SUPPORT,3,13,11,1025,9787,470,DEFEAT
61,2,SUPPORT,13,18,8,6025,16232,1267,DEFEAT
62,1,TANK,39,8,6,10233,0,15375,VICTORY
62,1,DAMAGE,49,0,2,10556,0,0,VICTORY
62,1,DAMAGE,40,1,11,11519,672,370,VICTORY
62,1,SUPPORT,12,28,7,2604,10849,466,VICTORY
